is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,12,IN,16,0,26,10,16,38.46,38.46,61.54,9018651,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091718.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,23,23,0,0,0,0,0,0,9018651,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091718.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
0,12,OUT,2,2,0,0,0,0,0,0,9018652,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091715.mp4,3.1.1.270,"gate_12_4_1561610695862, gate_1_8_1600339622903",240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
0,gate_12_4_1561610695862,IN,0,0,0,0,0,0,0,0,9018652,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091715.mp4,3.1.1.270,"gate_12_4_1561610695862, gate_1_8_1600339622903",240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,false
0,gate_12_4_1561610695862,OUT,0,0,0,0,0,0,0,0,9018652,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091715.mp4,3.1.1.270,"gate_12_4_1561610695862, gate_1_8_1600339622903",240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,false
0,gate_1_8_1600339622903,IN,0,0,0,0,0,0,0,0,9018652,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091715.mp4,3.1.1.270,"gate_12_4_1561610695862, gate_1_8_1600339622903",240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,false
0,gate_1_8_1600339622903,OUT,0,0,0,0,0,0,0,0,9018652,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091715.mp4,3.1.1.270,"gate_12_4_1561610695862, gate_1_8_1600339622903",240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,false
1,12,IN,10,2,13,5,8,23.08,53.85,61.54,9018653,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091711.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,8,8,0,0,0,0,0,0,9018653,,Cam 3 Entrance 2,5078,http://storage.movstat.com/000578/1677/0072020091711.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
